multiples;i;i <= 100;i % 5 === 0;multiples.push(i);i++;return multiples
[ ];?;?;?;?;?;?
[ ];5;?;?;?;?;?
[ ];5;5 <= 100 = TRUE;?;?;?;?
"[ ] ";5;TRUE;5 % 5 === 0 -> TRUE;?;?;?
"[ ] ";5;TRUE;TRUE;multiples.push(5);?;
[5];5;TRUE;TRUE;?;?;?
[5];5;TRUE;TRUE;?;6;?
[5];6;6 <= 100 -> TRUE;?;?;?;?
[5];6;TRUE;6 % 5 === 0 -> FALSE;?;?;?
[5];6;TRUE;FALSE;?;7;?
[5];7;7 <= 100 -> TRUE;?;?;?;?
[5];7;TRUE;7 % 5 === 0 -> FALSE;?;?;?
[5];7;TRUE;FALSE;?;8;?
[5];8;8 <= 100 -> TRUE;?;?;?;?
[5];8;TRUE;8 % 5 === 0 -> FALSE;?;?;?
[5];8;TRUE;FALSE;?;9;?
[5];9;9 <= 100 -> TRUE;?;?;?;?
[5];9;TRUE;9 % 5 === 0 -> FALSE;?;?;?
[5];9;TRUE;FALSE;?;10;?
...;...;...;...;...;...;...
[5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95];100;100 <= 100 = TRUE;?;?;?;?
[5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95];100;TRUE;100 % 5 === 0 -> TRUE;?;?;?
[5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95];100;TRUE;TRUE;multiples.push(100);;
[5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100];100;TRUE;TRUE;?;?;?
[5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100];100;TRUE;TRUE;?;101;?
[5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100];101;101 <= 100 = FALSE;?;?;?;?
[5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100];?;?;?;?;?;[5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100]