throughTwenty;i;i <= 20;throughTwenty.push(i);i++;return throughTwenty
[ ];?;?;?;?;?
[ ];1;?;?;?;?
[ ];1;1 <= 20 = TRUE;?;?;?
[ ];1;TRUE;throughTwenty.push(1);?;?
[1];1;TRUE;?;2;?
[1];2;2 <= 20 = TRUE;?;?;?
[1];2;TRUE;throughTwenty.push(2);?;?
[1, 2];2;TRUE;?;3;?
[1, 2];3;3 <= 20 = TRUE;?;?;?
[1, 2];3;TRUE;throughTwenty.push(3);?;?
[1, 2, 3];3;TRUE;?;4;?
[1, 2, 3];4;4 <= 20 = TRUE;?;?;?
[1, 2, 3];4;TRUE;throughTwenty.push(4);;
[1, 2, 3, 4];4;TRUE;?;5;?
[1, 2, 3, 4];5;"5 <= 20 = TRUE ";?;?;?
...;...;...;...;...;...
[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19];20;20 <= 20 TRUE;?;?;?
[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19];20;TRUE;throughTwenty.push(20);?;?
[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20];20;TRUE;?;21;?
[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20];21;21 <= 20 FALSE;?;?;?
[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20];?;?;?;?;[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]